Organization,Country,language,ngram1,ngram2,ngram3,ngram4
Palestinian Central Bureau of Statistics (PCBS),Palestinian Authority,en,,,,PCBS
Direccion de Estadistica y Censos,Panama,es,Direccion Estadistica,,,
National Statistical Office (NSO),Papua New Guinea,,,,,
"Direccion General de Estadistica, Encuestas y Censos (DGEEC)",Paraguay,es,General Estadistica,Estadistica Encuestas,Encuestas Censos ,DGEEC
Instituto Nacional de Estadistica e Informatica (INEI),Peru,es,Estadistica Informatica ,,,
Philippine Statistics Authority (PSA),Philippines,en,Philippine Statistics,Statistics Authority,,
Instituto Nacional de Estadistica (INE),Plurinational State of Bolivia,,,,,
Central Statistical Office of Poland,Poland,,,,,
Instituto Nacional de Estatística (INE),Portugal,,,,,
Instituto de Estadisticas de Puerto Rico,Puerto Rico,es,Estadisticas Puerto,,,
Qatar Statistics Authority,Qatar,en,Qatar Statistics,Statistics Authority,,
National Institute of Statistics,Romania,,,,,
Federal State Statistical Service of the Russian Federation (ROSSTAT),Russia,en,State Statistical ,ROSSTAT,,
National Institute of Statistics of Rwanda,Rwanda,en,Statistics Rwanda,,,
"Statistics Department, Ministry of Sustainable Development",Saint Kitts and Nevis,,,,,
Statistics Department,Saint Lucia,,,,,
Statistical Office,Saint Vincent and the Grenadines,,,,,
Samoa Bureau of Statistics (SBS),Samoa,,,,,
Instituto Nacional de Estatistica,Sao Tome and Principe,,,,,
Central Department of Statistics,Saudi Arabia,,,,,
Agence Nationale de la Statistique et de la Démographie - ANSD,Senegal,fr,Statistique Démographie,,,ANSD
Statistical Office of Serbia,Serbia,,,,,
National Bureau of Statistics (NBS),Seychelles,,,,,
National Statistical Institute,Sierra Leone,,,,,
Singapore Department of Statistics,Singapore,,,,,
Statistical Office of the Slovak Republic,Slovak Republic,,,,,
Statistical Office of the Republic of Slovenia,Slovenia,,,,,
Statistics Office,Solomon Islands,,,,,
Ministry of National Planning and Statistics,Somalia,en,Planning Statistics,,,
Statistics South Africa,South Africa,en,Statistics South,,,
National Bureau of Statistics,South Sudan,,,,,
Instituto Nacional de Estadistica,Spain,,,,,
Department of Census and Statistics (DCS),Sri Lanka,en,Census Statistics,Department Census,,
Central Bureau of Statistics (CBS),Sudan,,,,,
General Bureau of Statistics,Suriname,,,,,
Central Statistical Office (CSO),Swaziland,,,,,
Statistics Sweden,Sweden,en,Statistics Sweden,,,
Federal Statistical Office,Switzerland,,,,,
Central Bureau of Statistics (CBS),Syrian Arab Republic,,,,,
State Committee on Statistics,Tajikistan,,,,,
National Bureau of Statistics,Tanzania,,,,,
National Statistical office,Thailand,,,,,
Direccao Nacional de Estatistica (DNE),Timor-Leste,,,,,
